name,county,ward_code,ward_name,political_party,gender
ABAI SETH OMBESE,KISII,1344,KITUTU CENTRAL,INDEPENDENT,Male
ABAREA DEREMAN DIDO,TANA RIVER,88,KIPINI WEST,JUBILEE PARTY,Male
ABBEY ADAN MOHAMUD,MANDERA,209,ELWAK NORTH,MAENDELEO CHAP CHAP PARTY,Male
ABDALLA ALI MOHAMED,MOMBASA,16,FRERE TOWN,AMANI NATIONAL CONGRESS,Male
ABDALLA ATHMAN ALI,MOMBASA,26,MJI WA KALE MAKADARA,AMANI NATIONAL CONGRESS,Male
ABDALLA FAHAD KASSIM,MOMBASA,9,MJAMBERE,ORANGE DEMOCRATIC MOVEMENT,Male
ABDALLA FATUMA NOOR,NAKURU,876,BIASHARA,ORANGE DEMOCRATIC MOVEMENT,Female
ABDALLA HASSAN MAALIM,MARSABIT,225,MOYALE TOWNSHIP,JUBILEE PARTY,Male
ABDALLA MWANASITI MOHAMED,MOMBASA,23,BOFU,AMANI NATIONAL CONGRESS,Female
ABDI ABDI ADAN,WAJIR,166,DANABA,PARTY FOR DEVELOPMENT AND REFORM,Male
ABDI ABDI ALI,NAIROBI CITY,1367,PARKLANDS HIGHRIDGE,INDEPENDENT,Male
ABDI ABDI MUHYADIN,GARISSA,158,SANGAILU,PARTY FOR DEVELOPMENT AND REFORM,Male
ABDI ABDIKARIM DAUD,MANDERA,199,MALKAMARI,PARTY FOR DEVELOPMENT AND REFORM,Male
ABDI ABDIRAHMAN AHMED,WAJIR,188,LAGBOGHOL SOUTH,MAENDELEO CHAP CHAP PARTY,Male
ABDI ABDULLAHI ALI,WAJIR,175,WARGADUD,PARTY FOR DEVELOPMENT AND REFORM,Male
ABDI ABDULLAHI HASSAN,MANDERA,196,BANISSA,PARTY FOR DEVELOPMENT AND REFORM,Male
ABDI AHMED HASSAN,GARISSA,160,MASALANI,ORANGE DEMOCRATIC MOVEMENT,Male
ABDI DAHIR ADEN,UASIN GISHU,712,KAPSAOS,THE NATIONAL VISION PARTY,Male
ABDI DIRIYE BARE,GARISSA,149,DAMAJALE,WIPER DEMOCRATIC MOVEMENT- KENYA,Male
ABDI HARUN HASSAN,MOMBASA,2,KIPEVU,JUBILEE PARTY,Male
ABDI HASSAN ALI,MANDERA,199,MALKAMARI,ECONOMIC FREEDOM PARTY,Male
ABDI HUSSEIN YUSSUF,WAJIR,182,LAKOLEY SOUTH BASIR,PARTY OF NATIONAL UNITY,Male
ABDI IBRAHIM ALI,WAJIR,189,IBRAHIM URE,WIPER DEMOCRATIC MOVEMENT- KENYA,Male
ABDI ISMAIL HUSSEIN,WAJIR,173,SARMAN,MAENDELEO CHAP CHAP PARTY,Male
ABDI ISSA ADEN,GARISSA,144,SABENA,JUBILEE PARTY,Male
ABDI ISSA AHMED,WAJIR,175,WARGADUD,ORANGE DEMOCRATIC MOVEMENT,Male
ABDI KHALID ABDIKADIR,WAJIR,189,IBRAHIM URE,FORUM FOR RESTORATION OF DEMOCRACY-KENYA,Male
ABDI MOHAMED ABDULLAHI,GARISSA,159,IJARA,JUBILEE PARTY,Male
ABDI MOHAMED ALI,WAJIR,184,BENANE,NATIONAL RAINBOW COALITION,Male
ABDI MOHAMED IBRAHIM,GARISSA,132,GALBET,INDEPENDENT,Male
ABDI MOHAMED ISMAIL,GARISSA,155,FAFI,THE LABOUR PARTY OF KENYA,Male
Abdi Mohamednur Birik,WAJIR,176,ARBAJAHAN,ORANGE DEMOCRATIC MOVEMENT,Male
ABDI MOHAMUD MOHAMED,MANDERA,210,SHIMBIR FATUMA,KENYA AFRICAN NATIONAL UNION,Male
ABDI OMAR PAMBA,MOMBASA,22,SHIKA ADABU,INDEPENDENT,Male
ABDI OSMAN HUSSEIN,GARISSA,146,DERTU,JUBILEE PARTY,Male
ABDI OSMAN KHALIF,NAIROBI CITY,1384,SOUTH C,ORANGE DEMOCRATIC MOVEMENT,Male
ABDI RAMADHAN HUSSEIN,NAIROBI CITY,1390,SARANGOMBE,JUBILEE PARTY,Male
ABDI SARETHO MOWSAR,GARISSA,158,SANGAILU,AMANI NATIONAL CONGRESS,Female
ABDI SIYAT MOHAMUD,GARISSA,134,IFTIN,SAFINA,Male
ABDI SULEIMAN HASSAN,MOMBASA,4,CHANGAMWE,THIRDWAY ALLIANCE KENYA,Male
ABDI YUSSUF OMAR,GARISSA,153,DEKAHARIA,PARTY FOR DEVELOPMENT AND REFORM,Male
ABDIKADIR MOHAMED ALI,MARSABIT,225,MOYALE TOWNSHIP,WIPER DEMOCRATIC MOVEMENT- KENYA,Male
ABDILLAHI ALGI MOHAMED,TANA RIVER,87,GARSEN SOUTH,PARTY FOR DEVELOPMENT AND REFORM,Male
