SECURITIES, ISIN  CODE,TRADING SYMBOL,TOTAL NUMBER OF ISSUED SHARES,,,,
AGRICULTURAL,,,,,,,
 Eaagads Ltd ,KE0000000208,EGAD," 	32,157,000 ",,,,
 Kakuzi Ltd ,KE0000000281,KUKZ," 	19,599,999 ",,,,
 Kapchorua Tea Co. Ltd ,KE4000001760,KAPC," 	7,824,000 ",,,,
 The Limuru Tea Co. Ltd ,KE0000000356,LIMT," 	1,800,000 ",,,,
 Sasini Ltd ,KE0000000430,SASN," 	228,055,500 ",,,,
 Williamson Tea Kenya Ltd  ,KE0000000505,WTK," 	17,512,640 ",,,,
,,,,,,,
AUTOMOBILES & ACCESSORIES,,,,,,,
 Car & General (K) Ltd ,KE0000000109,C&G," 	40,103,308 ",,,,
 Marshalls (E.A.) Ltd ,KE0000000364,MASH," 	14,393,106 ",,,,
 Sameer Africa Ltd ,KE0000000232,FIRE," 	278,342,393 ",,,,
,,,,,,,
BANKING,,,,,,,
 Barclays Bank of Kenya Ltd ,KE0000000067,BBK,5431536000,,,,
 CFC Stanbic of Kenya Holdings Ltd ,KE0000000091,CFC,395321638,,,,
 Diamond Trust Bank Kenya Ltd ,KE0000000158,DTK,266321115,,,,
 Equity Group Holdings Ltd ,KE0000000554,EQTY,3773674802,,,,
 Housing Finance Group Ltd ,KE0000000240,HFCK,352416667,,,,
 I&M Holdings Ltd  ,KE0000000125,I&M,392362039,,,,
 KCB Group Ltd Ord ,KE0000000315,KCB," 	3,066,056,647.00 ",,,,
 National Bank of Kenya Ltd ,KE0000000398,NBK,308000000,,,,
 NIC Bank Ltd ,KE0000000406,NIC,639945603,,,,
 Standard Chartered Bank Kenya Ltd ,KE0000000448,SCBK,343510571.111111,,,,
 The Co-operative Bank of Kenya Ltd ,KE1000001568,COOP,4889316295,,,,
,,,,,,,
COMMERCIAL AND SERVICES,,,,,,,
 Atlas African Industries Ltd,KE4000004095,ADSS,"1,497,370,885",,,,
 Express Kenya Ltd  ,KE0000000224,XPRS," 	35,403,790 ",,,,
 Hutchings Biemer Ltd ,KE0000000257,HBER,"360,000",,,,
 Kenya Airways Ltd ,KE0000000307,KQ,1496469035,,,,
 Longhorn Publishers Ltd ,KE2000002275,LKL,369940476,,,,
 Nairobi Business Ventures Ltd,KE5000000090,NBV,"23,600,000",,,,
