,address,description,name,value
0,"General Mathenge Drive, Westlands, Nairobi, Nairobi",3 Bedrooms,SAMAR RESIDENCY - 3 Bedroom Apartments for Sale Westlands,KSh 27500000
1,"Kitengela, Kajiado, Kajiado, Rift Valley",5445 Land Size (m²),1/8 Acre Commercial and Residential Plots in Kitengela,KSh 449000
2,"Thika, Riruta, Thika Township, Central",5000 Land Size (m²),Land at  The Panorama Gardens,KSh 2250000
3,"Mombasa Road., Mombasa Road, Nairobi, Nairobi",4 Bedrooms,A lovely and Modern 4 Bedroom House all en suite in Mombasa Road.,KSh 35000000
4,"Gachie, Gachie, Kiambu, Central",464 Land Size (m²),50 By 100 Ft Plot for sale  in Gachie,KSh 6200000
5,"Church Road, Westlands, Westlands, Nairobi, Nairobi",3 Bedrooms,Sky View Garden,KSh 26000000
6,"Juja South, Juja, Kiambu, Central",2 Bedrooms,Juja South Estate - 2 Bedroom Apartment,KSh 5000000
7,"South C, South C, Nairobi, Nairobi",2 Bedrooms,2 Bedroom Apartment For Sale In South C - 3ke1281972,KSh 12000000
8,"Thika-Garissa highway, Thika Road, Nairobi, Nairobi",NO691AP80LCXINTRESKE Object ID,Fahari Heights,KSh 4500000
9,"Thindigua, Thindigua, Nairobi, Nairobi",2 Bedrooms,"Grandville Two. 2 Bedroom Apartments In Thindigua, Kiambu Road.",KSh 4990000
10,"Ruaka, Ruaka, Ruaka, Central",3 Bedrooms,Beautiful 3 Bedroom Runda View Apartment In Ruaka For Sale,KSh 13500000
11,"Upper Hill, Upper Hill, Nairobi, Nairobi",2 Bedrooms,2 Bedroom Apartment For Sale In Upper Hill - 3ke1312793,KSh 18000000
12,"Kiambu road, Kiambu Road, Nairobi, Nairobi",3 Bedrooms,Thindigua Gardens Apartments For Sale,KSh 12000000
13,"Argwings Khodek Road, Hurlingham, Nairobi, Nairobi",4 Bedrooms,"Kings Barni, Furnished 4 BR Duplex for Sale, Argwings Khodek Road",KSh 26000000
14,"Riara Close, Kilimani, Nairobi, Nairobi",3 Bedrooms,"Kings Sherwood, 3 BR Apartment Close To Riara Garden",KSh 19000000
15,"-1.249558, 36.721208, Lower Kabete, Lower Kabete, Central",1012 Land Size (m²),Quarter Acre Plot for sale  in Kabete Near Uon Kabete Campus,KSh 13500000
16,"Mwea, Mwea, Mwea, Eastern",40469 Land Size (m²),10 Acres Horticulture Land in Mwea Kirinyaga County,KSh 800000
17,"Kileleshwa, Nairobi, Nairobi",2 Bedrooms,"Chrystal, Luxury Apartments",KSh 9500000
18,"Paradise Lost, Kiambu Road, Nairobi, Nairobi",3 Bedrooms,Scenic View Apartments,KSh 12500000
19,"1, Riruta, , Rift Valley",5000 Land Size (m²),"Land for sale , Nanyuki",KSh 379000
20,"Isinya Town, Riruta, Isinya, Rift Valley",2 Land Size (m²),Tumaini Gardens,KSh 2250000
21,"Syokimau, Syokimau, Nairobi, Nairobi",4 Bedrooms,Mombasa rd near Kapa  4 bed room Maisonette for Sale,KSh 12800000
22,"Diani creekfront, Diani, Mombasa, Coast",4046 Land Size (m²),"Beautiful, Prime Creekfront Land With Views of Ocean, 1 Acre",KSh 24000000
23,"Kileleshwa, Nairobi, Nairobi",2 Bedrooms,Mideya Gardens Kileleshwa,KSh 8500000
