Company, ISIN  CODE,TRADING SYMBOL,ISSUED SHARES,High,Low,,
 Eaagads Ltd ,KE0000000208,EGAD,32157000,29.06,28.08,,
 Kakuzi Ltd ,KE0000000281,KUKZ,19599999,28.68,28.14,,
 Kapchorua Tea Co. Ltd ,KE4000001760,KAPC,7824000,28.15,27.25,,
 The Limuru Tea Co. Ltd ,KE0000000356,LIMT,1800000,28.28,27.77,,
 Sasini Ltd ,KE0000000430,SASN,228055500,28.23,27.24,,
 Williamson Tea Kenya Ltd  ,KE0000000505,WTK,17512640,27.41,26.36,,
 Car & General (K) Ltd ,KE0000000109,C&G,40103308,26.2,25.5,,
 Marshalls (E.A.) Ltd ,KE0000000364,MASH,14393106,26.75,25.91,,
 Sameer Africa Ltd ,KE0000000232,FIRE,278342393,26.99,25.86,,
 Barclays Bank of Kenya Ltd ,KE0000000067,BBK,5431536000,27.06,26.11,,
 CFC Stanbic of Kenya Holdings Ltd ,KE0000000091,CFC,395321638,27.64,26.37,,
 Diamond Trust Bank Kenya Ltd ,KE0000000158,DTK,266321115,25.89,25.39,,
 Equity Group Holdings Ltd ,KE0000000554,EQTY,3773674802,26.28,25.8,,
 Housing Finance Group Ltd ,KE0000000240,HFCK,352416667,26.07,25.53,,
 I&M Holdings Ltd  ,KE0000000125,I&M,392362039,26.08,25.45,,
 KCB Group Ltd Ord ,KE0000000315,KCB,3066056647,25.68,25.03,,
 National Bank of Kenya Ltd ,KE0000000398,NBK,308000000,25.34,24.49,,
 NIC Bank Ltd ,KE0000000406,NIC,639945603,24.8,23.74,,
 Standard Chartered Bank Kenya Ltd ,KE0000000448,SCBK,343510571.111111,24.07,22.89,,
 The Co-operative Bank of Kenya Ltd ,KE1000001568,COOP,4889316295,24.22,23.24,,
 Atlas African Industries Ltd,KE4000004095,ADSS,1497370885,24.7,24.14,,
 Express Kenya Ltd  ,KE0000000224,XPRS,35403790,25.83,24.45,,
 Hutchings Biemer Ltd ,KE0000000257,HBER,360000,25.8,25.04,,
 Kenya Airways Ltd ,KE0000000307,KQ,1496469035,26.14,25.36,,
 Longhorn Publishers Ltd ,KE2000002275,LKL,369940476,25.17,24.31,,
 Nairobi Business Ventures Ltd,KE5000000090,NBV,23600000,25,23.97,,
