name,county,ward_code,ward_name,political_party,gender
AENGWO JOHN CHONGWO,BARINGO,790,SAIMO KIPSARAMAN,JUBILEE PARTY,Male
AMASILE PETER P,BARINGO,786,TANGULBEI KOROSSI,PARTY FOR DEVELOPMENT AND REFORM,Male
AMEJA KACHEPKOW ZELEMOI,BARINGO,787,CHURO AMAYA,KENYA AFRICAN NATIONAL UNION,Male
AREMOI EVANS KAPEL,BARINGO,783,RIBKWO,JUBILEE PARTY,Male
ARUPE LUKE MARIACH ANTHONY,BARINGO,784,SILALE,JUBILEE PARTY,Male
BARCHIBA JOHN KIPKOECH,BARINGO,806,LEMBUS KWEN,KENYA AFRICAN NATIONAL UNION,Male
BIWOTT SYMON CHERUTICH,BARINGO,810,KOIBATEK,INDEPENDENT,Male
BOIWO JOHN KIPCHIRCHIR,BARINGO,793,KABARNET,KENYA AFRICAN NATIONAL UNION,Male
BOLEI RAPHAEL KIBET,BARINGO,796,EWALEL CHAPCHAP,JUBILEE PARTY,Male
CHEBET MATTHEW KIPSORNO,BARINGO,792,BARTABWA,PARTY FOR DEVELOPMENT AND REFORM,Male
CHEBII DANIEL KIPROTICH,BARINGO,793,KABARNET,ORANGE DEMOCRATIC MOVEMENT,Male
CHEBII REDEMPTA NDUKU,BARINGO,809,LEMBUS PERKERRA,AMANI NATIONAL CONGRESS,Female
CHEBOIWO JACOB KIPROTICH,BARINGO,804,KISANANA,JUBILEE PARTY,Male
CHEBON MICHAEL CHEPKERES,BARINGO,791,SAIMO SOI,KENYA AFRICAN NATIONAL UNION,Male
CHEBWAOT ALFRED KIMUTAI,BARINGO,802,MOGOTIO,INDEPENDENT,Male
CHELAL GEOFREY KIPKEMOI,BARINGO,803,EMINING,KENYA AFRICAN NATIONAL UNION,Male
CHELANG'A JOSHUA KOECH,BARINGO,790,SAIMO KIPSARAMAN,MAENDELEO CHAP CHAP PARTY,Male
CHELIMO MICHAEL KIPTUI,BARINGO,809,LEMBUS PERKERRA,INDEPENDENT,Male
CHEMINING'AI GILBERT KANDIE,BARINGO,789,KABARTONJO,CHAMA CHA MASHINANI,Male
CHEMUNA JOSEPH CHESIRE,BARINGO,797,KAPROPITA,INDEPENDENT,Male
CHEMWETICH STEPHEN,BARINGO,800,MOCHONGOI,CHAMA CHA MASHINANI,Male
CHEMWETICH ZAPHANIAH CHEPKONGA,BARINGO,788,BARWESSA,MAENDELEO CHAP CHAP PARTY,Male
CHEPKUTO WILLY KIPYEMIT,BARINGO,800,MOCHONGOI,INDEPENDENT,Male
CHEPSONGOL REUBEN CHIRCHIR,BARINGO,792,BARTABWA,JUBILEE PARTY,Male
CHEPTAI SOLOMON K,BARINGO,795,TENGES,KENYA AFRICAN NATIONAL UNION,Male
CHEPTOO ISAAC KIPYATOR,BARINGO,791,SAIMO SOI,THE NATIONAL VISION PARTY,Male
CHEPTOO JOHN MARK CHIRCHIR,BARINGO,807,RAVINE,PARTY FOR DEVELOPMENT AND REFORM,Male
CHEPTOO SAMUEL KIMALINY,BARINGO,797,KAPROPITA,MAENDELEO CHAP CHAP PARTY,Male
CHEPTOO WILSON KOROMBORI,BARINGO,794,SACHO,MAENDELEO CHAP CHAP PARTY,Male
CHERONO MICHAEL C,BARINGO,790,SAIMO KIPSARAMAN,CHAMA CHA MASHINANI,Male
CHERUIYOT CLINTON KIPROP,BARINGO,805,LEMBUS,INDEPENDENT,Male
CHERUIYOT ISAIAH KIPLABAT,BARINGO,794,SACHO,THE NATIONAL VISION PARTY,Male
CHERUIYOT MUSA KIPKURUI,BARINGO,810,KOIBATEK,JUBILEE PARTY,Male
CHERUTICH JACKSON KIPTOO,BARINGO,795,TENGES,INDEPENDENT,Male
CHESANG CLEMENT KIPLIMO,BARINGO,807,RAVINE,INDEPENDENT,Male
